accession,accession_number,species,Region,Zone,District,x_original,y_original,lon,lat,Locality,year_of_characterization
5300,5300,Triticum durum,Oromiya,MISRAK SHEWA,GIMBICHU,"39E 0' 0""","9N 4' 0""",39,9.066667,"Woberi, 35km E of Addis Abeba",1982
5314,5314,Triticum durum,Oromiya,MISRAK SHEWA,ADA'A CHUKALA,"38E 52' 0""","8N 16' 0""",38.866667,8.266667,Koftu,1982
5430,5430,Triticum durum,Oromiya,MISRAK SHEWA,LOME,"39E 15' 0""","8N 47' 0""",39.25,8.783333,Ejere,1984
5503,5503,Triticum durum,Oromiya,MISRAK SHEWA,LOME,"39E 15' 0""","8N 47' 0""",39.25,8.783333,Ejere,1983
5588,5588,Triticum durum,Oromiya,SEMEN SHEWA,BEREHNA ALELTU,"39E 3' 0""","9N 1' 0""",39.05,9.016667,9km Chefe Donsa to Sendafa,1982
5611,5611,Triticum durum,Oromiya,SEMEN SHEWA,BEREHNA ALELTU,"39E 4' 0""","9N 3' 0""",39.066667,9.05,"Riba, S of Sendafa",1982
5622,5622,Triticum durum,Oromiya,MISRAK SHEWA,GIMBICHU,"39E 3' 0""","9N 1' 0""",39.05,9.016667,5km Chefe Donsa to Sendafa,1982
5634,5634,Triticum durum,Oromiya,SEMEN SHEWA,BEREHNA ALELTU,"39E 6' 0""","9N 2' 0""",39.1,9.033333,"Rogge, S of Hamus Gebeya",1983
5654,5654,Triticum durum,Oromiya,MISRAK SHEWA,ADA'A CHUKALA,"39E 15' 0""","9N 4' 0""",39.25,9.066667,"Filtinio, near koftu",1987
5663,5663,Triticum durum,Oromiya,MISRAK SHEWA,GIMBICHU,"39E 3' 0""","9N 1' 0""",39.05,9.016667,"EPID Site, Chefe Donsa",1985
5679,5679,Triticum durum,Oromiya,SEMEN SHEWA,MULONA SULULTA,"37E 29' 0""","10N 34' 0""",37.483333,10.566667,"Chancho, 66km Addis Abeba to Fiche",1983
5684,5684,Triticum durum,Oromiya,MISRAK SHEWA,ADA'A CHUKALA,"39E 6' 0""","8N 58' 0""",39.1,8.966667,"Goro Gabriel, Dekako",1983
5690,5690,Triticum durum,Oromiya,MISRAK SHEWA,ADA'A CHUKALA,"39E 1' 0""","8N 54' 0""",39.016667,8.9,SE Slope of Mt.Yerer,1983
6891,6891,Triticum durum,Oromiya,BALE,GINIR,"40E 47' 0""","7N 4' 0""",40.783333,7.066667,"9km, Ginir to Goro",1985
7960,7960,Triticum durum,Amara,SEMEN SHEWA,ANGOLELA TEANA ASAGR,"36E 26' 0""","9N 39' 0""",36.433333,9.65,25km Debre Berhan to Jihur,1985
8034,8034,Triticum durum,Oromiya,MISRAK SHEWA,ADA'A CHUKALA,"39E 2' 0""","8N 37' 0""",39.033333,8.616667,7km SE of Debre Zeyit,1985
8175,8175,Triticum durum,Amara,SEMEN SHEWA,DEBRE BERHAN ZURIA,"39E 51' 0""","9N 57' 0""",39.85,9.95,Keyit Market,1985
8208,8208,Triticum durum,Amara,SEMEN SHEWA,MAFUDMEZEZO MOJANA,"39E 45' 0""","9N 51' 0""",39.75,9.85,Debre Sina Area,1985
8214,8214,Triticum durum,Amara,SEMEN SHEWA,MAFUDMEZEZO MOJANA,"39E 45' 0""","9N 51' 0""",39.75,9.85,"Yizaba, 5km NW Debre Sina to Mezezo",1985
8436,8436,Triticum durum,SNNP,BENCH MAJI,KONSO special wereda,"37E 18' 0""","5N 18' 0""",37.3,5.3,10km from Konso to Fasha Rood,1982
203674,203674,Triticum durum,Oromiya,MISRAK SHEWA,ADA'A CHUKALA,"39E 1' 0""","8N 52' 0""",39.016667,8.866667,NA,1982
203739,203739,Triticum durum,Oromiya,MISRAK SHEWA,LUME,"39E 46' 0""","8N 47' 0""",39.766667,8.783333,NA,1984
203846,203846,Triticum durum,Oromiya,MISRAK SHEWA,LUME,"39E 15' 0""","8N 47' 0""",39.25,8.783333,NA,1984
203889,203889,Triticum durum,Oromiya,SEMEN SHEWA,MULONA SULULTA,"38E 40' 0""","9N 16' 0""",38.666667,9.266667,NA,1984
203940,203940,Triticum durum,Oromiya,MISRAK SHEWA,ADA'A CHUKALA,"39E 6' 0""","8N 58' 0""",39.1,8.966667,NA,1984
203989,203989,Triticum durum,Oromiya,MISRAK SHEWA,ADA'A CHUKALA,"39E 0' 0""","8N 49' 0""",39,8.816667,NA,1982
204411,204411,Triticum durum,Oromiya,ARSSI,MERTI,"39E 47' 0""","8N 30' 0""",39.783333,8.5,NA,1982
204488,204488,Triticum durum,Oromiya,SEMEN SHEWA,KEMBIBIT,"39E 15' 0""","9N 27' 0""",39.25,9.45,NA,1982
204530,204530,Triticum durum,Oromiya,SEMEN SHEWA,WUCHALENA JIDO,"38E 49' 0""","9N 36' 0""",38.816667,9.6,NA,1982
204563,204563,Triticum durum,Oromiya,SEMEN SHEWA,BEREHNA ALELTU,"38E 59' 0""","8N 56' 0""",38.983333,8.933333,NA,1982
204573,204573,Triticum durum,Oromiya,MIRAB SHEWA,AMBO,"38E 3' 0""","8N 58' 0""",38.05,8.966667,NA,2003
208873,208873,Triticum durum,SNNP,KEMBATA ALABANA TEMB,ANGACHA,"37E 42' 0""","7N 20' 0""",37.7,7.333333,Murasa Weyramo 24km away from Hosaina on the way to Areka,NA
208931,208931,Triticum durum,Oromiya,MIRAB SHEWA,AMBO,"37E 56' 0""","9N 3' 0""",37.933333,9.05,Kurbi 114Km away from Addis Ababa on the way to Ambo,1984
212561,212561,Triticum durum,Amara,SEMEN SHEWA,WEREMO WAJETUNA MID,"39E 16' 0""","10N 25' 0""",39.266667,10.416667,NA,1985
212564,212564,Triticum durum,Amara,SEMEN SHEWA,LAY BETNA TACH BET,"39E 13' 0""","10N 25' 0""",39.216667,10.416667,Shuladubigana 6kms away from Shilafaf on the way to Jama,1985
214303,214303,Triticum durum,Oromiya,MIRAB SHEWA,EJERIE(ADDIS ALEM),"38E 25' 0""","9N 6' 0""",38.416667,9.1,NA,1985
214306,214306,Triticum durum,NA,NA,NA,"38E 54' 0""","8N 59' 0""",38.9,8.983333,NA,1984
214313,214313,Triticum durum,Oromiya,MISRAK SHEWA,ADA'A CHUKALA,"39E 4' 0""","8N 51' 0""",39.066667,8.85,NA,1985
214328,214328,Triticum durum,Oromiya,MIRAB SHEWA,EJERIE(ADDIS ALEM),"38E 25' 0""","9N 2' 0""",38.416667,9.033333,NA,1984
214341,214341,Triticum durum,Oromiya,MISRAK SHEWA,ADA'A CHUKALA,"39E 6' 0""","8N 58' 0""",39.1,8.966667,NA,1984
214357,214357,Triticum durum,Oromiya,SEMEN SHEWA,BEREHNA  ALELTU,"39E 4' 0""","9N 11' 0""",39.066667,9.183333,NA,1984
214366,214366,Triticum durum,Amara,SEMEN SHEWA,DEBRE BERHAN ZURIA,"39E 42' 0""","9N 49' 0""",39.7,9.816667,NA,1984
214462,214462,Triticum durum,NA,NA,NA,"40E 53' 0""","9N 8' 0""",40.883333,9.133333,NA,1984
214494,214494,Triticum durum,Oromiya,ARSSI,GEDEB,"39E 9' 0""","7N 15' 0""",39.15,7.25,NA,1984
214571,214571,Triticum durum,Amara,MISRAK GOJAM,DEJEN,"38E 2' 0""","10N 13' 0""",38.033333,10.216667,NA,1984
214585,214585,Triticum durum,Oromiya,BALE,SINANANA DINSHO,"39E 51' 0""","7N 9' 0""",39.85,7.15,NA,1984
215276,215276,Triticum durum,Amara,SEMEN SHEWA,KEWET,"39E 44' 0""","9N 57' 0""",39.733333,9.95,Mawgie Midir 13km on Tarmaber to Mezezo road,1993
216665,216665,Triticum durum,SNNP,HADIYA,LIMO,"37E 45' 0""","7N 45' 0""",37.75,7.75,NA,1985
222190,222190,Triticum durum,Oromiya,MISRAK SHEWA,AKAKI,"38E 49' 0""","8N 51' 0""",38.816667,8.85,NA,1986
222191,222191,Triticum durum,Oromiya,MISRAK SHEWA,LOME,"39E 15' 0""","8N 47' 0""",39.25,8.783333,NA,1986
222198,222198,Triticum durum,Oromiya,ARSSI,ROBE,"39E 36' 0""","7N 55' 0""",39.6,7.916667,NA,1986
222275,222275,Triticum durum,NA,NA,NA,"40E 31' 0""","8N 49' 0""",40.516667,8.816667,NA,1986
222297,222297,Triticum durum,Amara,SEMEN GONDAR,DEBARK,"37E 52' 0""","13N 10' 0""",37.866667,13.166667,NA,1986
222298,222298,Triticum durum,Oromiya,BALE,AGARFA,"39E 53' 0""","7N 16' 0""",39.883333,7.266667,NA,1986
222326,222326,Triticum durum,Oromiya,BALE,GASERANA GOLOLCHA,"40E 41' 0""","7N 42' 0""",40.683333,7.7,NA,1986
222332,222332,Triticum durum,Oromiya,BALE,GASERANA GOLOLCHA,"40E 42' 0""","7N 34' 0""",40.7,7.566667,NA,1986
222346,222346,Triticum durum,Amara,AGEW AWI,BANJA,"36E 55' 0""","10N 59' 0""",36.916667,10.983333,NA,1986
222352,222352,Triticum durum,Amara,MIRAB GOJAM,BURE WEMBERMA,"35E 20' 0""","10N 56' 0""",35.333333,10.933333,NA,1986
222360,222360,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,"38E 10' 0""","10N 39' 0""",38.166667,10.65,NA,1986
222366,222366,Triticum durum,Amara,MISRAK GOJAM,ENEMAY,"38E 17' 0""","10N 25' 0""",38.283333,10.416667,NA,1986
222371,222371,Triticum durum,Oromiya,ARSSI,MERTI,"39E 52' 0""","8N 34' 0""",39.866667,8.566667,NA,1991
222372,222372,Triticum durum,Oromiya,ARSSI,MERTI,"39E 52' 0""","8N 34' 0""",39.866667,8.566667,NA,1986
222373,222373,Triticum durum,Oromiya,ARSSI,MERTI,"39E 52' 0""","8N 34' 0""",39.866667,8.566667,NA,1986
222387,222387,Triticum durum,Oromiya,ARSSI,AMIGNA,"39E 56' 0""","7N 40' 0""",39.933333,7.666667,NA,1986
222408,222408,Triticum durum,Oromiya,ARSSI,SUDE,"39E 47' 0""","7N 54' 0""",39.783333,7.9,NA,1986
222413,222413,Triticum durum,Oromiya,ARSSI,SERU,"39E 53' 0""","7N 44' 0""",39.883333,7.733333,NA,1986
222419,222419,Triticum durum,Oromiya,ARSSI,ROBE,"39E 44' 0""","7N 42' 0""",39.733333,7.7,NA,1986
222426,222426,Triticum durum,Oromiya,ARSSI,ROBE,"39E 59' 0""","7N 32' 0""",39.983333,7.533333,NA,1986
222432,222432,Triticum durum,Oromiya,ARSSI,ROBE,"40E 3' 0""","7N 31' 0""",40.05,7.516667,NA,1986
222433,222433,Triticum durum,Oromiya,ARSSI,SERU,"40E 5' 0""","7N 30' 0""",40.083333,7.5,NA,1986
222434,222434,Triticum durum,Oromiya,ARSSI,SERU,"40E 5' 0""","7N 30' 0""",40.083333,7.5,NA,1986
222435,222435,Triticum durum,Oromiya,ARSSI,SERU,"40E 5' 0""","7N 30' 0""",40.083333,7.5,NA,1986
222462,222462,Triticum durum,Oromiya,MIRAB SHEWA,DENDI,"38E 3' 0""","9N 22' 0""",38.05,9.366667,NA,1986
222464,222464,Triticum durum,Oromiya,MIRAB SHEWA,DENDI,"38E 3' 0""","9N 22' 0""",38.05,9.366667,NA,1986
222530,222530,Triticum durum,Amara,SEMEN GONDAR,GONDAR ZURIA,"37E 24' 0""","12N 33' 0""",37.4,12.55,NA,1986
222554,222554,Triticum durum,Oromiya,ARSSI,SHERKA,"39E 30' 0""","7N 38' 0""",39.5,7.633333,NA,1986
222578,222578,Triticum durum,Oromiya,MISRAK HARERGE,KERSA,"41E 48' 0""","9N 28' 0""",41.8,9.466667,NA,1986
222623,222623,Triticum durum,Amara,DEBUB GONDAR,LAY GAYINT,"38E 32' 0""","11N 38' 0""",38.533333,11.633333,NA,1986
222641,222641,Triticum durum,Amara,DEBUB GONDAR,TACH GAYINT,"38E 32' 0""","11N 38' 0""",38.533333,11.633333,NA,1986
222682,222682,Triticum durum,Amara,DEBUB WELLO,DESSIE ZURIA,"39E 34' 0""","11N 15' 0""",39.566667,11.25,NA,1986
222730,222730,Triticum durum,Amara,SEMEN SHEWA,MAFUDMEZEZO MOJANA,"39E 46' 0""","9N 50' 0""",39.766667,9.833333,NA,1986
222752,222752,Triticum durum,Amara,MISRAK GOJAM,ENEMAY,"38E 10' 0""","10N 32' 0""",38.166667,10.533333,NA,1986
222780,222780,Triticum durum,SNNP,KEMBATA ALABANA TEMB,ANGACHA,"37E 42' 0""","7N 20' 0""",37.7,7.333333,NA,1986
223257,223257,Triticum durum,Tigray,DEBUBAWI,ALAJE,"39E 28' 0""","13N 41' 0""",39.466667,13.683333,3 km South of Adishihu to Maychew,1991
226094,226094,Triticum durum,Amara,DEBUB WELLO,DEBRESINA,"38E 44' 0""","10N 46' 0""",38.733333,10.766667,"Debresay 4km, North West of Mekane Selam town",1991
226157,226157,Triticum durum,Oromiya,MISRAK SHEWA,ADA'A CHUKALA,"38E 56' 0""","8N 47' 0""",38.933333,8.783333,NA,1987
226178,226178,Triticum durum,Oromiya,MISRAK HARERGE,KERSA,"41E 41' 0""","9N 25' 0""",41.683333,9.416667,NA,1987
226191,226191,Triticum durum,Oromiya,MIRAB  HARERGE,KUNI,"40E 53' 0""","9N 0' 0""",40.883333,9,NA,1987
226192,226192,Triticum durum,Oromiya,MIRAB  HARERGE,KUNI,"40E 53' 0""","9N 0' 0""",40.883333,9,NA,1987
226207,226207,Triticum durum,Amara,SEMEN GONDAR,GONDAR ZURIA,"37E 28' 0""","12N 38' 0""",37.466667,12.633333,NA,1987
226273,226273,Triticum durum,Oromiya,ARSSI,SHERKA,"39E 29' 0""","7N 37' 0""",39.483333,7.616667,NA,1987
226356,226356,Triticum durum,Oromiya,ARSSI,TENA,"39E 35' 0""","7N 50' 0""",39.583333,7.833333,NA,1992
226357,226357,Triticum durum,Oromiya,ARSSI,TENA,"39E 35' 0""","7N 50' 0""",39.583333,7.833333,NA,1987
226363,226363,Triticum durum,Oromiya,ARSSI,GEDEB,"39E 12' 0""","7N 10' 0""",39.2,7.166667,NA,1987
226371,226371,Triticum durum,Oromiya,MIRAB SHEWA,AMBO,"37E 57' 0""","8N 58' 0""",37.95,8.966667,NA,1987
226393,226393,Triticum durum,Oromiya,MISRAK SHEWA,AKAKI,"38E 51' 0""","8N 52' 0""",38.85,8.866667,NA,1987
226825,226825,Triticum durum,Oromiya,BALE,AGARFA,"39E 45' 0""","7N 20' 0""",39.75,7.333333,NA,1987
226826,226826,Triticum durum,Oromiya,BALE,AGARFA,"39E 45' 0""","7N 20' 0""",39.75,7.333333,NA,1987
226839,226839,Triticum durum,Amara,MISRAK GOJAM,ENEMAY,"38E 24' 0""","10N 30' 0""",38.4,10.5,NA,1987
226840,226840,Triticum durum,Amara,MISRAK GOJAM,ENEMAY,"38E 24' 0""","10N 30' 0""",38.4,10.5,NA,1987
226876,226876,Triticum durum,Oromiya,MIRAB SHEWA,META ROBI,"39E 16' 0""","9N 24' 0""",39.266667,9.4,NA,1987
226887,226887,Triticum durum,Oromiya,MIRAB SHEWA,META ROBI,"39E 15' 0""","9N 27' 0""",39.25,9.45,NA,1987
226894,226894,Triticum durum,Oromiya,SEMEN SHEWA,GERAR JARSO,"38E 43' 0""","9N 44' 0""",38.716667,9.733333,NA,1987
226922,226922,Triticum durum,SNNP,SEMEN OMO,BOREDA ABAYA,"37E 45' 0""","6N 31' 0""",37.75,6.516667,NA,1987
226928,226928,Triticum durum,Oromiya,ARSSI,KOFELE,"38E 56' 0""","7N 1' 0""",38.933333,7.016667,NA,1987
226951,226951,Triticum durum,Amara,DEBUB GONDAR,TACH GAYINT,"38E 20' 0""","11N 40' 0""",38.333333,11.666667,NA,1987
226973,226973,Triticum durum,Oromiya,ARSSI,ROBE,"39E 37' 0""","7N 53' 0""",39.616667,7.883333,NA,1987
227009,227009,Triticum durum,Oromiya,ARSSI,SHERKA,"39E 55' 0""","8N 19' 0""",39.916667,8.316667,NA,1987
231475,231475,Triticum durum,Oromiya,MISRAK SHEWA,ADA'A CHUKALA,"38E 54' 0""","8N 47' 0""",38.9,8.783333,NA,1989
231477,231477,Triticum durum,Oromiya,MISRAK SHEWA,ADA'A CHUKALA,"38E 54' 0""","8N 47' 0""",38.9,8.783333,NA,1989
231479,231479,Triticum durum,Oromiya,MISRAK SHEWA,ADA'A CHUKALA,"38E 54' 0""","8N 47' 0""",38.9,8.783333,NA,1989
231480,231480,Triticum durum,Oromiya,MISRAK SHEWA,ADA'A CHUKALA,"38E 54' 0""","8N 47' 0""",38.9,8.783333,NA,1989
231508,231508,Triticum durum,Oromiya,MISRAK SHEWA,AKAKI,"38E 49' 0""","8N 51' 0""",38.816667,8.85,NA,1989
231524,231524,Triticum durum,Oromiya,MIRAB SHEWA,JELDU,"38E 4' 0""","9N 16' 0""",38.066667,9.266667,NA,1989
231565,231565,Triticum durum,Amara,SEMEN SHEWA,DEBRE BERHAN ZURIA,"39E 29' 0""","9N 39' 0""",39.483333,9.65,NA,1989
231572,231572,Triticum durum,Amara,MISRAK GOJAM,ENEMAY,"38E 10' 0""","10N 38' 0""",38.166667,10.633333,NA,1989
231573,231573,Triticum durum,Amara,MISRAK GOJAM,ENEMAY,"38E 10' 0""","10N 38' 0""",38.166667,10.633333,NA,1989
231586,231586,Triticum durum,Amara,SEMEN WELLO,DAWUNTNA DELANT,"39E 9' 0""","11N 34' 0""",39.15,11.566667,NA,1989
231597,231597,Triticum durum,Amara,DEBUB WELLO,DEBRESINA,"39E 0' 0""","10N 51' 0""",39,10.85,NA,1989
236982,236982,Triticum durum,Oromiya,ARSSI,DODOTANA SIRE,"39E 20' 0""","8N 17' 0""",39.333333,8.283333,"Horo Adi, 19Km from Itaya town",2003
236984,236984,Triticum durum,Oromiya,ARSSI,SERU,"40E 12' 0""","7N 40' 0""",40.2,7.666667,"Mechaka Mariam, 6Km from Seru",NA
236986,236986,Triticum durum,Amara,SEMEN SHEWA,MINJARNA SHENKORA,"39E 20' 0""","9N 30' 0""",39.333333,9.5,10km North of Shenkora town,2003
236987,236987,Triticum durum,Amara,SEMEN SHEWA,MINJARNA SHENKORA,"39E 20' 0""","9N 30' 0""",39.333333,9.5,13km North of Shenkora town,2000
236988,236988,Triticum durum,Oromiya,MISRAK SHEWA,GIMBICHU,"39E 10' 0""","8N 55' 0""",39.166667,8.916667,4km. From Gembichu town to east,NA
236989,236989,Triticum durum,Oromiya,MISRAK SHEWA,GIMBICHU,"39E 10' 0""","8N 55' 0""",39.166667,8.916667,4km. From Gembichu town to east,2003
238117,238117,Triticum durum,Tigray,MEHAKELEGNAW,ADWA,"38E 4' 0""","14N 2' 0""",38.066667,14.033333,18km Adwa Temben Rd,1998
238119,238119,Triticum durum,Tigray,MEHAKELEGNAW,WERIE LEHE,"38E 4' 0""","14N 4' 0""",38.066667,14.066667,31km away from Adwa to Edaga arbi,1998
238120,238120,Triticum durum,Tigray,MEHAKELEGNAW,WERIE LEHE,"39E 35' 0""","13N 4' 0""",39.583333,13.066667,Edaga Arbi around the town it self,1998
238121,238121,Triticum durum,Tigray,MEHAKELEGNAW,WERIE LEHE,"39E 35' 0""","13N 4' 0""",39.583333,13.066667,15km from Edaga arbi to Nebelet,1998
238122,238122,Triticum durum,Tigray,MEHAKELEGNAW,WERIE LEHE,"39E 35' 0""","13N 4' 0""",39.583333,13.066667,25km from Edaga arbi to Nebelet,1998
238125,238125,Triticum durum,Tigray,MEHAKELEGNAW,ADWA,"38E 4' 0""","14N 2' 0""",38.066667,14.033333,Lailai Gunia 15 km. From Adwa,1998
238126,238126,Triticum durum,Tigray,MEHAKELEGNAW,ADWA,"38E 4' 0""","14N 2' 0""",38.066667,14.033333,23km Adwa to Adegrat Road,1998
238130,238130,Triticum durum,Tigray,MISRAKAWI,HAWZEN,"39E 52' 0""","14N 10' 0""",39.866667,14.166667,17km. From Hawzen to Senkata,NA
238133,238133,Triticum durum,Tigray,MISRAKAWI,ATSBI WENBERTA,"39E 8' 0""","13N 9' 0""",39.133333,13.15,16km. From Wukro to Atsibi,NA
238139,238139,Triticum durum,Amara,MISRAK GOJAM,GUZAMN,"37E 9' 0""","14N 2' 0""",37.15,14.033333,15km. D markos to A.A,NA
6697,6697,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,1982
8205,8205,Triticum durum,Amara,SEMEN SHEWA,GERAMIDIRNA KEYA GEB,NA,NA,NA,NA,Menz Area,1985
200929,200929,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,2003
202012,NA,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
202458,NA,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
204353,NA,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
204934,204934,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,2003
204936,204936,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,1992
204992,204992,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,1992
206548,206548,Triticum durum,Tigray,DEBUBAWI,ENDERTA,NA,NA,NA,NA,NA,1984
206551,206551,Triticum durum,Tigray,DEBUBAWI,ENDERTA,NA,NA,NA,NA,Aynalem kebele,1984
206554,206554,Triticum durum,Tigray,DEBUBAWI,ENDERTA,NA,NA,NA,NA,Debre Harnet kebele,1984
206556,206556,Triticum durum,Tigray,MISRAKAWI,GANTA AFESHUM,NA,NA,NA,NA,Golea kebele,1984
206567,206567,Triticum durum,Amara,DEBUB GONDAR,LAY GAYINT,NA,NA,NA,NA,29 Kebele,1984
206576,206576,Triticum durum,Amara,DEBUB GONDAR,LAY GAYINT,NA,NA,NA,NA,16 Kebele,1984
206666,206666,Triticum durum,Amara,SEMEN GONDAR,WEGERA,NA,NA,NA,NA,NA,1984
206690,206690,Triticum durum,Amara,DEBUB GONDAR,SIMADA,NA,NA,NA,NA,Kendo Mariam,1984
206700,206700,Triticum durum,Amara,DEBUB GONDAR,TACH GAYINT,NA,NA,NA,NA,15 Kebele,1984
207058,NA,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
208131,208131,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,5Km from Debre Work on the road to MottaTitar eyesus to Mota,2003
208132,208132,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,5Km from Debre Work on the road to MottaTitar eyesus to Mota,2003
208133,208133,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,5Km from Debre Work on the road to MottaTitar eyesus to Mota,2003
208134,208134,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,5Km from Debre Work on the road to MottaTitar eyesus to Mota,2003
208135,208135,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,5Km from Debre Work on the road to MottaTitar eyesus to Mota,2003
208136,208136,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,5Km from Debre Work on the road to MottaTitar eyesus to Mota,2003
208137,208137,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,5Km from Debre Work on the road to MottaTitar eyesus to Mota,2003
208140,208140,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,5Km from Debre Work on the road to MottaTitar eyesus to Mota,2003
208146,208146,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,5Km from Debre Work on the road to MottaTitar eyesus to Mota,2003
208150,208150,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,Zachela Gebriel 10Km Titar Eyesus to Mota,2003
208151,208151,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,Zachela Gebriel 10Km Titar Eyesus to Mota,2003
208155,208155,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,Zachela Gebriel 10Km Titar Eyesus to Mota,1999
208156,208156,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,Zachela Gebriel 10Km Titar Eyesus to Mota,2003
208157,208157,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,Zachela Gebriel 10Km Titar Eyesus to Mota,2003
208159,208159,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,Zachela Gebriel 10Km Titar Eyesus to Mota,2003
208161,208161,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,Zachela Gebriel 10Km Titar Eyesus to Mota,2003
208162,208162,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,Zachela Gebriel 10Km Titar Eyesus to Mota,2003
208164,208164,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,Zachela Gebriel 10Km Titar Eyesus to Mota,2003
208165,208165,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,Zachela Gebriel 10Km Titar Eyesus to Mota,2003
208167,208167,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,Zachela Gebriel 10Km Titar Eyesus to Mota,NA
