accession,accession_number,species,Region,Zone,District,x_original,y_original,lon,lat,Locality,year_of_characterization
208168,208168,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,Zachela Gabriel,1999
208170,208170,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,Zachela Gabriel,2003
208173,208173,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,Zachela Gabriel,2003
208175,208175,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,Zachela Gabriel,2003
208179,208179,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,Zachela Gabriel,2003
208181,208181,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,"Quami Cherk, Debrework to Mota",2003
208182,208182,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,"Quami Cherk, Debrework to Mota",2003
208184,208184,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,"Quami Cherk, Debrework to Mota",1990
208186,208186,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,"Quami Cherk, Debrework to Mota",1992
208188,208188,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,Quami Cherk on the road from Debrework to Mota,1990
208189,208189,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,Quami Cherk on the road from Debrework to Mota,2003
208190,208190,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,Quami Cherk on the road from Debrework to Mota,2003
208191,208191,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,Quami Cherk on the road from Debrework to Mota,NA
208192,208192,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,Quami Cherk on the road from Debrework to Mota,2003
208194,208194,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,Quami Cherk on the road from Debrework to Mota,1991
208196,208196,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,Gembole on the road from Debrework to Mota,1990
208198,208198,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,Gembole on the road from Debrework to Mota,1991
208200,208200,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,Gembole on the road from Debrework to Mota,2003
208209,208209,Triticum durum,Amara,MIRAB GOJAM,BURE WEMBERMA,NA,NA,NA,NA,Gusha Giorgis,NA
208221,208221,Triticum durum,Amara,MISRAK GOJAM,DEBRE MARKOS,NA,NA,NA,NA,Chemoga about 5 Km from DebreMarkos on the way to Addis,2003
208222,208222,Triticum durum,Amara,MISRAK GOJAM,DEBRE MARKOS,NA,NA,NA,NA,Chemoga about 5 Km from DebreMarkos on the way to Addis,2003
208224,208224,Triticum durum,Amara,MISRAK GOJAM,DEBRE MARKOS,NA,NA,NA,NA,Chemoga about 25 Km from DebreMarkos on the way to Addis,2003
208227,208227,Triticum durum,Amara,MISRAK GOJAM,DEBRE MARKOS,NA,NA,NA,NA,Chemoga about 5 Km from DebreMarkos on the way to Addis,1992
208228,208228,Triticum durum,Amara,MISRAK GOJAM,DEBRE MARKOS,NA,NA,NA,NA,Chemoga about 5 Km from DebreMarkos on the way to Addis,1999
208229,208229,Triticum durum,Amara,MISRAK GOJAM,DEBRE MARKOS,NA,NA,NA,NA,Chemoga about 5 Km from DebreMarkos on the way to Addis,2003
208230,208230,Triticum durum,Amara,MISRAK GOJAM,DEBRE MARKOS,NA,NA,NA,NA,Chemoga about 5 Km from DebreMarkos on the way to Addis,2003
208233,208233,Triticum durum,Amara,MISRAK GOJAM,AWABEL,NA,NA,NA,NA,Udalem about 26 Km from DebreMarkos on the way to Addis,2003
208239,208239,Triticum durum,Amara,MISRAK GOJAM,AWABEL,NA,NA,NA,NA,Udalem about 26 Km from DebreMarkos on the way to Addis,1990
208241,208241,Triticum durum,Amara,MISRAK GOJAM,AWABEL,NA,NA,NA,NA,Udalem about 26 Km from DebreMarkos on the way to Addis,2003
208242,208242,Triticum durum,Amara,MISRAK GOJAM,AWABEL,NA,NA,NA,NA,Udalem about 26 Km from DebreMarkos on the way to Addis,2003
208243,208243,Triticum durum,Amara,MISRAK GOJAM,AWABEL,NA,NA,NA,NA,Udalem about 26 Km from DebreMarkos on the way to Addis,1990
208244,208244,Triticum durum,Amara,MISRAK GOJAM,AWABEL,NA,NA,NA,NA,Udalem about 26 Km from DebreMarkos on the way to Addis,1990
208248,208248,Triticum durum,Oromiya,SEMEN SHEWA,WARA JARSO,NA,NA,NA,NA,Goha Tsiyon,2003
208250,208250,Triticum durum,Oromiya,SEMEN SHEWA,WARA JARSO,NA,NA,NA,NA,Goha Tsiyon,2003
208251,208251,Triticum durum,Oromiya,SEMEN SHEWA,WARA JARSO,NA,NA,NA,NA,Goha Tsiyon,2003
208252,208252,Triticum durum,Oromiya,SEMEN SHEWA,WARA JARSO,NA,NA,NA,NA,Goha Tsiyon,1990
208253,208253,Triticum durum,Oromiya,SEMEN SHEWA,WARA JARSO,NA,NA,NA,NA,Goha Tsiyon,2003
208256,208256,Triticum durum,Oromiya,SEMEN SHEWA,KUYU,NA,NA,NA,NA,Kesi,2003
208258,208258,Triticum durum,Oromiya,SEMEN SHEWA,KUYU,NA,NA,NA,NA,Kesi,1991
208259,208259,Triticum durum,Oromiya,SEMEN SHEWA,KUYU,NA,NA,NA,NA,Kesi,2003
208262,208262,Triticum durum,Oromiya,SEMEN SHEWA,KUYU,NA,NA,NA,NA,Kesi,2003
208264,208264,Triticum durum,Oromiya,SEMEN SHEWA,KUYU,NA,NA,NA,NA,Kesi,2003
208273,208273,Triticum durum,Oromiya,SEMEN SHEWA,DEGEM,NA,NA,NA,NA,Adelgae,2003
208277,208277,Triticum durum,Oromiya,SEMEN SHEWA,DEGEM,NA,NA,NA,NA,Adelgae,NA
208278,208278,Triticum durum,Oromiya,SEMEN SHEWA,DEGEM,NA,NA,NA,NA,Adelgae,NA
208279,208279,Triticum durum,Oromiya,SEMEN SHEWA,DEGEM,NA,NA,NA,NA,Adelgae,NA
208280,208280,Triticum durum,Oromiya,SEMEN SHEWA,DEGEM,NA,NA,NA,NA,Adelgae,NA
208281,208281,Triticum durum,Oromiya,SEMEN SHEWA,DEGEM,NA,NA,NA,NA,Adelgae,1992
208281,208281,Triticum durum,Oromiya,SEMEN SHEWA,DEGEM,NA,NA,NA,NA,Adelgae,1994
208282,208282,Triticum durum,Oromiya,SEMEN SHEWA,DEGEM,NA,NA,NA,NA,Adelgae,NA
208283,208283,Triticum durum,Oromiya,SEMEN SHEWA,DEGEM,NA,NA,NA,NA,Adelgae,1990
208285,208285,Triticum durum,Oromiya,SEMEN SHEWA,DEGEM,NA,NA,NA,NA,Adelgae,NA
208286,208286,Triticum durum,Oromiya,SEMEN SHEWA,DEGEM,NA,NA,NA,NA,Adelgae,NA
208288,208288,Triticum durum,Oromiya,SEMEN SHEWA,DEGEM,NA,NA,NA,NA,Adelgae,NA
208290,208290,Triticum durum,Oromiya,SEMEN SHEWA,DEGEM,NA,NA,NA,NA,Adelgae,NA
208292,208292,Triticum durum,Oromiya,SEMEN SHEWA,DEGEM,NA,NA,NA,NA,Adelgae,NA
208293,208293,Triticum durum,Oromiya,SEMEN SHEWA,DEGEM,NA,NA,NA,NA,Adelgae,1999
208294,208294,Triticum durum,Oromiya,SEMEN SHEWA,DEGEM,NA,NA,NA,NA,Adelgae,1999
208304,208304,Triticum durum,Oromiya,SEMEN SHEWA,GERAR JARSO,NA,NA,NA,NA,Fiche town {Commando area},NA
208309,208309,Triticum durum,Oromiya,SEMEN SHEWA,GERAR JARSO,NA,NA,NA,NA,Fiche town {Commando area},NA
208310,208310,Triticum durum,Oromiya,SEMEN SHEWA,GERAR JARSO,NA,NA,NA,NA,Fiche town {Commando area},NA
208311,208311,Triticum durum,Oromiya,SEMEN SHEWA,GERAR JARSO,NA,NA,NA,NA,Fiche town {Commando area},1992
208312,208312,Triticum durum,Oromiya,SEMEN SHEWA,GERAR JARSO,NA,NA,NA,NA,Fiche town {Commando area},NA
208315,208315,Triticum durum,Oromiya,SEMEN SHEWA,GERAR JARSO,NA,NA,NA,NA,Sefani { Debre Libanos],NA
208316,208316,Triticum durum,Oromiya,SEMEN SHEWA,GERAR JARSO,NA,NA,NA,NA,Sefani { Debre Libanos],NA
208317,208317,Triticum durum,Oromiya,SEMEN SHEWA,GERAR JARSO,NA,NA,NA,NA,Sefani { Debre Libanos],NA
208318,208318,Triticum durum,Oromiya,SEMEN SHEWA,GERAR JARSO,NA,NA,NA,NA,Sefani { Debre Libanos],NA
208320,208320,Triticum durum,Oromiya,SEMEN SHEWA,GERAR JARSO,NA,NA,NA,NA,Sefani { Debre Libanos],NA
208321,208321,Triticum durum,Oromiya,SEMEN SHEWA,GERAR JARSO,NA,NA,NA,NA,Sefani { Debre Libanos],NA
208322,208322,Triticum durum,Oromiya,SEMEN SHEWA,GERAR JARSO,NA,NA,NA,NA,Sefani { Debre Libanos],NA
208327,208327,Triticum durum,Oromiya,SEMEN SHEWA,MULONA SULULTA,NA,NA,NA,NA,Irko Ababoro,1991
208328,208328,Triticum durum,Oromiya,SEMEN SHEWA,MULONA SULULTA,NA,NA,NA,NA,Irko Ababoro,1999
208334,208334,Triticum durum,Oromiya,SEMEN SHEWA,MULONA SULULTA,NA,NA,NA,NA,Irko Ababoro,NA
208336,208336,Triticum durum,Oromiya,SEMEN SHEWA,MULONA SULULTA,NA,NA,NA,NA,Irko Ababoro,NA
208365,NA,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
208474,208474,Triticum durum,Oromiya,MISRAK SHEWA,LOME,NA,NA,NA,NA,Damsie/ Wellebo Kebele,1984
208481,208481,Triticum durum,Amara,SEMEN SHEWA,MINJARNA SHENKORA,NA,NA,NA,NA,Tilifie Kebele,1984
208482,208482,Triticum durum,Amara,SEMEN SHEWA,MINJARNA SHENKORA,NA,NA,NA,NA,Tilifie Kebele 24Km N of Mojo,1984
208486,208486,Triticum durum,Oromiya,SEMEN SHEWA,GERAR JARSO,NA,NA,NA,NA,"Commando area, 5Km to Fitche",1984
208780,208780,Triticum durum,Oromiya,MISRAK SHEWA,ADA CHEKOLA,NA,NA,NA,NA,Vlaga & Tegi sw of Dera,NA
210113,210113,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,1994
210795,210795,Triticum durum,Oromiya,MIRAB SHEWA,META ROBI,NA,NA,NA,NA,Kerba about 2km.from sheno to Debre Birhan,NA
210796,210796,Triticum durum,Oromiya,MIRAB SHEWA,META ROBI,NA,NA,NA,NA,Kerba about 2km. From Sheno to Debreberhan,NA
210801,210801,Triticum durum,Oromiya,MIRAB SHEWA,META ROBI,NA,NA,NA,NA,Gazmet,1984
210803,210803,Triticum durum,Oromiya,MIRAB SHEWA,META ROBI,NA,NA,NA,NA,Gazmat,1984
210813,210813,Triticum durum,Amara,MISRAK GOJAM,DEJEN,NA,NA,NA,NA,Enabirga about 11km. From Dejen to Bichena,NA
210815,210815,Triticum durum,Amara,MISRAK GOJAM,DEJEN,NA,NA,NA,NA,"Sheben Shengo , about 15km. From Dejen to Bichena",NA
210818,210818,Triticum durum,Amara,MISRAK GOJAM,DEJEN,NA,NA,NA,NA,"Sheben Shengo , about 15km. From Dejen to Bichena",NA
210821,210821,Triticum durum,Amara,MISRAK GOJAM,DEJEN,NA,NA,NA,NA,"Abu gedura lencho, about 3km. From Gohetsiyon to",NA
210825,210825,Triticum durum,Amara,MISRAK GOJAM,DEJEN,NA,NA,NA,NA,"Alekta Ambo, about 10km from Dejen to Bichena",NA
210896,210896,Triticum durum,Amara,MISRAK GOJAM,ENEMAY,NA,NA,NA,NA,Near settlement Merergn area,NA
212415,NA,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
213310,213310,Triticum durum,Tigray,DEBUBAWI,ENDERTA,NA,NA,NA,NA,Igri Hariba,1985
214502,214502,Triticum durum,Oromiya,MIRAB  HARERGE,CHIRO,NA,NA,NA,NA,NA,1984
214599,214599,Triticum durum,Tigray,MISRAKAWI,GULOMAHDA,NA,NA,NA,NA,NA,1984
214874,214874,Triticum durum,Amara,SEMEN WELLO,DAWUNTNA DELANT,NA,NA,NA,NA,Asim,1985
214877,214877,Triticum durum,Amara,DEBUB WELLO,DEBRESINA,NA,NA,NA,NA,Tewamilo,1985
214881,214881,Triticum durum,Amara,DEBUB WELLO,DEBRESINA,NA,NA,NA,NA,laywala kebele,1985
215111,215111,Triticum durum,Amara,SEMEN SHEWA,MAMA MIDRINA LALO MI,NA,NA,NA,NA,NA,1993
215117,215117,Triticum durum,Amara,SEMEN SHEWA,MAMA MIDRINA LALO MI,NA,NA,NA,NA,NA,1993
215411,215411,Triticum durum,Oromiya,BALE,SINANANA DINSHO,NA,NA,NA,NA,NA,NA
216472,216472,Triticum durum,Amara,DEBUB GONDAR,LAY GAYINT,NA,NA,NA,NA,NA,1985
216490,216490,Triticum durum,Amara,SEMEN GONDAR,DABAT,NA,NA,NA,NA,NA,1985
216625,216625,Triticum durum,Tigray,MEHAKELEGNAW,LAELAY MAYCHEW,NA,NA,NA,NA,NA,1985
222440,222440,Triticum durum,Oromiya,SEMEN SHEWA,WUCHALENA JIDO,NA,NA,NA,NA,NA,1986
222457,222457,Triticum durum,Oromiya,MIRAB SHEWA,DENDI,NA,NA,NA,NA,NA,1986
222500,222499,Triticum durum,Amara,MISRAK GOJAM,GUZAMN,NA,NA,NA,NA,NA,1986
222541,222541,Triticum durum,Amara,DEBUB GONDAR,FARTA,NA,NA,NA,NA,NA,1986
222542,222542,Triticum durum,Amara,DEBUB GONDAR,FARTA,NA,NA,NA,NA,NA,1986
222655,222655,Triticum durum,Amara,DEBUB GONDAR,LAY GAYINT,NA,NA,NA,NA,NA,1986
222660,222660,Triticum durum,Amara,DEBUB GONDAR,TACH GAYINT,NA,NA,NA,NA,NA,1986
222666,222666,Triticum durum,Amara,DEBUB GONDAR,TACH GAYINT,NA,NA,NA,NA,NA,1986
222727,222727,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,1986
222736,222736,Triticum durum,Amara,SEMEN SHEWA,KEWET,NA,NA,NA,NA,NA,1986
222786,222786,Triticum durum,Oromiya,SEMEN SHEWA,WARA JARSO,NA,NA,NA,NA,NA,1986
222805,222805,Triticum durum,Oromiya,BALE,GORO,NA,NA,NA,NA,NA,1986
222806,222806,Triticum durum,Oromiya,BALE,GORO,NA,NA,NA,NA,NA,1986
222811,222811,Triticum durum,Amara,DEBUB WELLO,WERE ILU,NA,NA,NA,NA,NA,1986
222813,222813,Triticum durum,Amara,DEBUB WELLO,WERE ILU,NA,NA,NA,NA,NA,1986
222841,222841,Triticum durum,Amara,SEMEN GONDAR,DEBARK,NA,NA,NA,NA,NA,1986
222854,222854,Triticum durum,Amara,DEBUB WELLO,DEBRESINA,NA,NA,NA,NA,NA,1986
222855,222855,Triticum durum,Amara,DEBUB WELLO,DEBRESINA,NA,NA,NA,NA,NA,1986
222856,222856,Triticum durum,Amara,DEBUB WELLO,DEBRESINA,NA,NA,NA,NA,NA,1986
222858,222858,Triticum durum,Amara,SEMEN SHEWA,HAGEREMARIAMINA KESE,NA,NA,NA,NA,NA,1986
222859,222859,Triticum durum,Amara,SEMEN SHEWA,HAGEREMARIAMINA KESE,NA,NA,NA,NA,NA,1986
225844,225844,Triticum durum,SNNP,SEMEN OMO,BONKE,NA,NA,NA,NA,"Ocha 5km, North of Gerese",1991
226221,226221,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,1992
226535,226535,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,1987
227029,227029,Triticum durum,Oromiya,BORENA,YABELO,NA,NA,NA,NA,NA,1987
227058,227058,Triticum durum,Oromiya,BALE,SINANANA DINSHO,NA,NA,NA,NA,NA,1987
227061,227061,Triticum durum,Oromiya,BALE,GASERANA GOLOLCHA,NA,NA,NA,NA,NA,1987
227063,227063,Triticum durum,SNNP,HADIYA,SORO,NA,NA,NA,NA,NA,1987
227066,227066,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,1987
227298,227298,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,1993
227314,227314,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,1993
227317,227317,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,1993
227542,NA,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
228135,228135,Triticum durum,SNNP,SEMEN OMO,SODO ZURIA,NA,NA,NA,NA,Kikate Marachre,1993
228593,228593,Triticum durum,Amara,MISRAK GOJAM,SHEBEL BERENTA,NA,NA,NA,NA,Goy Birbegn,1993
228600,228600,Triticum durum,Amara,MISRAK GOJAM,AWABEL,NA,NA,NA,NA,Arera,1993
228753,228753,Triticum durum,Oromiya,MIRAB SHEWA,DENDI,NA,NA,NA,NA,Yimura Meti,1993
228762,228762,Triticum durum,Oromiya,MIRAB SHEWA,AMBO,NA,NA,NA,NA,Bicho,1993
228768,228768,Triticum durum,Oromiya,MIRAB SHEWA,AMBO,NA,NA,NA,NA,Goljena Kenfel,1993
228771,228771,Triticum durum,Oromiya,MIRAB SHEWA,AMBO,NA,NA,NA,NA,Kilibe Nius Tabiya,1993
228862,228862,Triticum durum,Oromiya,MISRAK HARERGE,META,NA,NA,NA,NA,Kebenawa No3,1993
229250,229250,Triticum durum,Amara,SEMEN SHEWA,LAY BETNA TACH BET,NA,NA,NA,NA,Market,1993
229251,229251,Triticum durum,Amara,SEMEN SHEWA,LAY BETNA TACH BET,NA,NA,NA,NA,"Fetra 2km, from Fetra on the way to Alem ketema",1993
229253,229253,Triticum durum,Amara,SEMEN SHEWA,LAY BETNA TACH BET,NA,NA,NA,NA,"Buyo 5km, S.W  of Fetra town",1993
231580,231580,Triticum durum,Amara,DEBUB GONDAR,TACH GAYINT,NA,NA,NA,NA,NA,1989
231994,231994,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,1989
234498,234498,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,NA,1999
234513,234513,Triticum durum,Amara,MIRAB GOJAM,JABI TEHNAN,NA,NA,NA,NA,NA,2003
234514,234514,Triticum durum,Amara,MIRAB GOJAM,JABI TEHNAN,NA,NA,NA,NA,NA,2003
236269,236269,Triticum durum,Tigray,DEBUBAWI,OFLA,NA,NA,NA,NA,Sebhale Korem 14Km. to Sekota,NA
236271,236271,Triticum durum,Tigray,DEBUBAWI,OFLA,NA,NA,NA,NA,Menkese Korem 5Km. to Maychew,NA
236276,236276,Triticum durum,Tigray,DEBUBAWI,ENDAMEHONI,NA,NA,NA,NA,Ambalage ayba 17Km. Maychew to Mekele,NA
236278,236278,Triticum durum,Tigray,DEBUBAWI,ENDERTA,NA,NA,NA,NA,Qwha Debre Medhanit 15Km. Qwha to Asmera RD.,NA
236282,236282,Triticum durum,Tigray,DEBUBAWI,SAMRE,NA,NA,NA,NA,Tangue Milash /Tigray/ Smret 12Km. Hases S.Temben,NA
236286,236286,Triticum durum,Tigray,MISRAKAWI,WUKRO,NA,NA,NA,NA,Near Mainquden 28Km. Mekele - Wukro RD.,NA
236288,236288,Triticum durum,Tigray,MISRAKAWI,GANTA AFESHUM,NA,NA,NA,NA,Chenkele Senkata 8Km. to Hosaena,NA
236291,236291,Triticum durum,Tigray region,MEHAKELEGNAW,ADWA,NA,NA,NA,NA,Gendafat 81Km. Adigrat to Adwa,NA
236295,236295,Triticum durum,Tigray,MEHAKELEGNAW,LAELAY MAYCHEW,NA,NA,NA,NA,Lesalso 16Km. Adwa to Axum,NA
236296,236296,Triticum durum,Tigray,MEHAKELEGNAW,LAELAY MAYCHEW,NA,NA,NA,NA,Meikeskas,NA
236297,236297,Triticum durum,Tigray,MEHAKELEGNAW,LAELAY MAYCHEW,NA,NA,NA,NA,Semeret Adwa 28Km. to Axum 2Km. Nadse,NA
236300,236300,Triticum durum,Tigray,MEHAKELEGNAW,TAHTAY MAYCHEW,NA,NA,NA,NA,Axum 15Km. to Shire,NA
236301,236301,Triticum durum,Amara,SEMEN GONDAR,ADDI ARKAY,NA,NA,NA,NA,Diba Bahir Adi-Arkay 63Km. to Gonder Llimalimo,NA
236308,236308,Triticum durum,Amara,MIRAB GOJAM,ADET,NA,NA,NA,NA,Adet 14km to Bahirder,NA
236313,236313,Triticum durum,Amara,MISRAK GOJAM,ENARJ ENAWGA,NA,NA,NA,NA,Debrework 3km  to motta,NA
238340,NA,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
238498,238498,Triticum durum,Oromiya,MISRAK SHEWA,ADA'A CHUKALA,NA,NA,NA,NA,Wodo&Edibayu 10km from D.Zeit on the way to Dire(Zequala),NA
238507,238499,Triticum durum,Oromiya,MISRAK SHEWA,ADA'A CHUKALA,NA,NA,NA,NA,Wodo&Edibayu 10km from D.Zeit on the way to Dire(Ziqualla),NA
238513,238513,Triticum durum,Amara,SEMEN SHEWA,MINJARNA SHENKORA,NA,NA,NA,NA,Zewelde34kmfrom Mojo on the way to Shenkora,NA
238516,238516,Triticum durum,Oromiya,MISRAK SHEWA,ADA'A CHUKALA,NA,NA,NA,NA,Babogaye 3km from D.zeit to Godino near D.zeit agriculture,NA
238519,238519,Triticum durum,Oromiya,MISRAK SHEWA,ADA'A CHUKALA,NA,NA,NA,NA,Migira worko 7km from D.zeit on the way to Godino near,NA
238522,238522,Triticum durum,Oromiya,MISRAK SHEWA,ADA'A CHUKALA,NA,NA,NA,NA,Keteba 14km from D.zeit on the way to chefe donsa,NA
238528,238528,Triticum durum,Oromiya,MISRAK SHEWA,ADA'A CHUKALA,NA,NA,NA,NA,Cheriti 15km from D.Zeit on the way to Arbgebeya near Hora,NA
238531,238531,Triticum durum,Oromiya,MISRAK SHEWA,AKAKI,NA,NA,NA,NA,Debregelan 19km from D.Zeit on the way to Akaki (A.A),NA
238537,238537,Triticum durum,Amara,SEMEN SHEWA,DEBRE BERHAN ZURIA,NA,NA,NA,NA,Mekegene & Daleti 11km from D.brehan on the way to Mendida,NA
238540,238540,Triticum durum,Amara,SEMEN SHEWA,DEBRE BERHAN ZURIA,NA,NA,NA,NA,Angolela 18km from D.Brehan on the way to Mendida(Deneba),NA
238546,238546,Triticum durum,Oromiya,SEMEN SHEWA,ABICHUNA GNEA,NA,NA,NA,NA,Yererie mendida 32km fromD.Brehan on the way to Mendida,NA
238549,238549,Triticum durum,Oromiya,SEMEN SHEWA,ABICHUNA GNEA,NA,NA,NA,NA,Kere abagemo35km from D.Brehan on the way to Deneba(Enewari),NA
238561,238561,Triticum durum,Amara,SEMEN SHEWA,DEBRE BERHAN ZURIA,NA,NA,NA,NA,Weshawshit 10km from D.Brehan on the way to Ankober,NA
238567,238567,Triticum durum,Amara,SEMEN SHEWA,DEBRE BERHAN ZURIA,NA,NA,NA,NA,Keba 18km from D.Brehan on the way to Ankober,NA
238570,238570,Triticum durum,Amara,SEMEN SHEWA,ANKOBER,NA,NA,NA,NA,Kulfie 58km from D.Brehan on the way to Alyuamba,NA
238573,238573,Triticum durum,Amara,SEMEN SHEWA,ANKOBER,NA,NA,NA,NA,Kulfie 58km from D.Brehan on the way to Alyuamba,NA
238576,238576,Triticum durum,Amara,SEMEN SHEWA,KEWET,NA,NA,NA,NA,Bakelo 7km from D.Brhan on the way to keit (D.Sina),NA
238579,238579,Triticum durum,Amara,SEMEN SHEWA,KEWET,NA,NA,NA,NA,Bakelo 7km from D.Brhan on the way to Keit (D.Sina),NA
248478,NA,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
314347,NA,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARENDATO,Modern,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Assassa,Modern,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
BICHENA,Modern,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOOHAI,Modern,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
DENBI,Modern,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dinknesh,Modern,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flakit,Modern,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Foka,Modern,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
GERARDO,Modern,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
GG2,Modern,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
GINCHI,Modern,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hitosa,Modern,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kilinto,Modern,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
LD-357,Modern,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mangudo,Modern,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Megenagna,Modern,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metaya,Modern,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mossobo,Modern,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mukiye,Modern,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quamy,Modern,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robe,Modern,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Selam,Modern,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOB-66,Modern,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tossa,Modern,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ude,Modern,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
WERER,Modern,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Workaye,Modern,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
YERER,Modern,Triticum durum,NA,NA,NA,NA,NA,NA,NA,NA,NA
