genotype,PC1,PC2,PC3,GY,OA,GYf,OAf,node3,node4,node5
003ET_D,-9.867404064,61.73357864,-19.20642814,-0.164220615,-0.251218251,0,0,0,0,0
005ET_D,-0.04440729,56.81688227,-11.4379624,-0.089298921,-0.204049307,0,0,0,0,0
014ET_D,20.74745411,-16.82256845,45.08312956,0.152028045,0.056493497,0,0,0,0,0
019ET_D,-13.52485192,56.19069972,-32.20711745,-0.174575107,-0.113826322,0,0,0,0,0
022ET_D,11.72375561,4.953050468,-35.56092509,0.110832007,0.144938181,0,0,0,0,0
028ET_D,10.61576556,-7.302602997,6.220473138,0.078462654,0.092316939,0,0,0,0,0
033ET_D,26.67110783,4.12337204,20.57978613,0.046673388,-0.048536391,0,0,1,1,1
035ET_D,-2.354173333,35.60078203,-11.12255684,-0.05998576,-0.161924665,0,0,0,0,0
048ET_D,25.70214844,-30.95552004,-19.66413518,0.134073647,0.184179568,0,0,0,0,1
051ET_D,26.30830877,-38.30020897,-30.34703251,0.21551741,0.160983477,1,0,0,0,0
060ET_D,12.28569155,-19.81131508,-19.14198436,0.157329825,0.256150846,0,1,0,0,0
066ET_D,19.06833269,-15.00266759,-6.903548375,0.074305039,0.173300465,0,0,0,0,0
072ET_D,17.35662324,-26.07781347,-14.82736923,0.137825652,0.208210315,0,0,0,0,0
082ET_D,26.10311643,-2.117356431,22.35844096,0.058750285,0.033050474,0,0,1,1,0
107ET_D,-1.694544725,54.86301328,-8.731411096,0.002113816,-0.136195617,0,0,0,0,0
114ET_D,17.70797921,25.29899138,23.95940479,-0.09647299,-0.147197842,0,0,0,0,0
121ET_D,18.14557713,3.1496595,24.466681,0.047188197,-0.105526985,0,0,0,0,0
122ET_D,17.91817649,-15.91285665,44.18173827,0.136100954,0.074032375,0,0,0,0,0
123ET_D,15.91240939,29.5007271,23.680687,-0.060493127,-0.164382517,0,0,0,0,0
140ET_D,21.45817851,-32.07174109,-35.07831447,0.1514784,0.235386041,0,0,0,0,0
156ET_D,20.51773158,-16.57248513,45.32682412,0.150415452,0.059181925,0,0,0,0,0
160ET_D,21.1104727,-13.30418682,-1.90742845,0.082185637,0.096486441,0,0,0,0,0
167ET_D,20.0865557,-6.387677587,-2.195593559,0.036657493,0.112063585,0,0,0,0,0
168ET_D,25.28238301,1.53499792,32.26741528,0.059683843,-0.154745747,0,0,0,0,0
169ET_D,25.20659771,1.422697517,32.35356744,0.058992781,-0.154340674,0,0,1,0,0
197ET_D,6.44306726,34.80668641,10.66259222,-0.020135604,-0.06302623,0,0,0,0,0
242ET_D,-11.35313248,60.8958089,-27.11636974,-0.083588363,-0.15768771,0,0,0,0,0
246ET_D,11.08159932,-25.07139202,-19.80110845,0.042115106,0.302795537,0,1,0,0,0
249ET_D,-7.579628795,63.61494933,-23.1603895,-0.082610259,-0.203138419,0,0,0,0,0
272ET_D,22.97613625,6.094052731,25.50038907,0.025507233,-0.084354374,0,0,0,0,0
326ET_D,25.99785057,-1.506855184,16.39342625,0.078742958,0.010454616,0,0,0,0,0
336ET_D,20.14045899,-12.89750321,1.943023816,0.081485418,0.12504306,0,0,0,0,0
341ET_D,-141.1319131,-20.22757004,6.214047289,-0.156791605,0.210111264,0,0,0,0,0
344ET_D,-135.6070251,-16.78402599,2.918125716,-0.108451786,0.146903744,0,0,0,0,0
360ET_D,21.90082633,-33.2333898,-34.07270184,0.143677638,0.217131408,0,0,0,0,0
387ET_D,22.84080797,-43.76676375,-38.59882515,0.157869471,0.180350744,1,0,0,0,0
390ET_D,-135.5040158,-16.29419529,13.28948912,-0.124732767,0.225745972,0,0,0,0,0
414ET_D,11.70140521,-17.43989376,-8.506515912,0.078793759,0.266561488,0,1,0,0,0
415ET_D,25.08010926,-10.75614,36.14817098,0.056266918,0.03129242,0,0,0,1,1
441ET_D,-131.99733,-19.20410443,6.080380124,-0.100116196,0.237082186,0,0,0,0,0
454ET_D,22.56779984,-42.77911546,-40.04007452,0.164275313,0.189173167,1,0,0,0,0